index	label
0	background
1	region00001
2	region00002
3	region00003
4	region00004
5	region00005
6	region00006
7	region00007
8	region00008
9	region00009
10	region00010
11	region00011
12	region00012
13	region00013
14	region00014
15	region00015
16	region00016
17	region00017
18	region00018
19	region00019
20	region00020
21	region00021
22	region00022
23	region00023
24	region00024
25	region00025
26	region00026
27	region00027
28	region00028
29	region00029
30	region00030
31	region00031
32	region00032
33	region00033
34	region00034
35	region00035
36	region00036
37	region00037
38	region00038
39	region00039
40	region00040
41	region00041
42	region00042
43	region00043
44	region00044
45	region00045
46	region00046
47	region00047
48	region00048
49	region00049
50	region00050
51	region00051
52	region00052
53	region00053
54	region00054
55	region00055
56	region00056
57	region00057
58	region00058
59	region00059
60	region00060
61	region00061
62	region00062
63	region00063
64	region00064
65	region00065
66	region00066
67	region00067
68	region00068
69	region00069
70	region00070
71	region00071
72	region00072
73	region00073
74	region00074
75	region00075
76	region00076
77	region00077
78	region00078
79	region00079
80	region00080
81	region00081
82	region00082
83	region00083
84	region00084
85	region00085
86	region00086
87	region00087
88	region00088
89	region00089
90	region00090
91	region00091
92	region00092
93	region00093
94	region00094
95	region00095
96	region00096
97	region00097
98	region00098
99	region00099
100	region00100
101	region00101
102	region00102
103	region00103
104	region00104
105	region00105
106	region00106
107	region00107
108	region00108
109	region00109
110	region00110
111	region00111
112	region00112
113	region00113
114	region00114
115	region00115
116	region00116
117	region00117
118	region00118
119	region00119
120	region00120
121	region00121
122	region00122
123	region00123
124	region00124
125	region00125
126	region00126
127	region00127
128	region00128
129	region00129
130	region00130
131	region00131
132	region00132
133	region00133
134	region00134
135	region00135
136	region00136
137	region00137
138	region00138
139	region00139
140	region00140
141	region00141
142	region00142
143	region00143
144	region00144
145	region00145
146	region00146
147	region00147
148	region00148
149	region00149
150	region00150
151	region00151
152	region00152
153	region00153
154	region00154
155	region00155
156	region00156
157	region00157
158	region00158
159	region00159
160	region00160
161	region00161
162	region00162
163	region00163
164	region00164
165	region00165
166	region00166
167	region00167
168	region00168
169	region00169
170	region00170
171	region00171
172	region00172
173	region00173
174	region00174
175	region00175
176	region00176
177	region00177
178	region00178
179	region00179
180	region00180
181	region00181
182	region00182
183	region00183
184	region00184
185	region00185
186	region00186
187	region00187
188	region00188
189	region00189
190	region00190
191	region00191
192	region00192
193	region00193
194	region00194
195	region00195
196	region00196
197	region00197
198	region00198
199	region00199
200	region00200
201	region00201
202	region00202
203	region00203
204	region00204
205	region00205
206	region00206
207	region00207
208	region00208
209	region00209
210	region00210
211	region00211
212	region00212
213	region00213
214	region00214
215	region00215
216	region00216
217	region00217
218	region00218
219	region00219
220	region00220
221	region00221
222	region00222
223	region00223
224	region00224
225	region00225
226	region00226
227	region00227
228	region00228
229	region00229
230	region00230
231	region00231
232	region00232
233	region00233
234	region00234
235	region00235
236	region00236
237	region00237
238	region00238
239	region00239
240	region00240
241	region00241
242	region00242
243	region00243
244	region00244
245	region00245
246	region00246
247	region00247
248	region00248
249	region00249
250	region00250
251	region00251
252	region00252
253	region00253
254	region00254
255	region00255
256	region00256
257	region00257
258	region00258
259	region00259
260	region00260
261	region00261
262	region00262
263	region00263
264	region00264
265	region00265
266	region00266
267	region00267
268	region00268
269	region00269
270	region00270
271	region00271
272	region00272
273	region00273
274	region00274
275	region00275
276	region00276
277	region00277
278	region00278
279	region00279
280	region00280
281	region00281
282	region00282
283	region00283
284	region00284
285	region00285
286	region00286
287	region00287
288	region00288
289	region00289
290	region00290
291	region00291
292	region00292
293	region00293
294	region00294
295	region00295
296	region00296
297	region00297
298	region00298
299	region00299
300	region00300
301	region00301
302	region00302
303	region00303
304	region00304
305	region00305
306	region00306
307	region00307
308	region00308
309	region00309
310	region00310
311	region00311
312	region00312
313	region00313
314	region00314
315	region00315
316	region00316
317	region00317
318	region00318
319	region00319
320	region00320
321	region00321
322	region00322
323	region00323
324	region00324
325	region00325
326	region00326
327	region00327
328	region00328
329	region00329
330	region00330
331	region00331
332	region00332
333	region00333
334	region00334
335	region00335
336	region00336
337	region00337
338	region00338
339	region00339
340	region00340
341	region00341
342	region00342
343	region00343
344	region00344
345	region00345
346	region00346
347	region00347
348	region00348
349	region00349
350	region00350
351	region00351
352	region00352
353	region00353
354	region00354
355	region00355
356	region00356
357	region00357
358	region00358
359	region00359
360	region00360
361	region00361
362	region00362
363	region00363
364	region00364
365	region00365
366	region00366
367	region00367
368	region00368
369	region00369
370	region00370
371	region00371
372	region00372
373	region00373
374	region00374
375	region00375
376	region00376
377	region00377
378	region00378
379	region00379
380	region00380
381	region00381
382	region00382
383	region00383
384	region00384
385	region00385
386	region00386
387	region00387
388	region00388
389	region00389
390	region00390
391	region00391
392	region00392
393	region00393
394	region00394
395	region00395
396	region00396
397	region00397
398	region00398
399	region00399
400	region00400
